iter	Passed	Remaining
896	4576	525
897	4578	520
898	4580	514
899	4582	509
900	4583	503
901	4586	498
902	4588	492
903	4591	487
904	4594	482
905	4596	476
906	4601	471
907	4603	466
908	4605	461
909	4607	455
910	4610	450
911	4611	445
912	4613	439
913	4617	434
914	4619	429
915	4623	423
916	4624	418
917	4627	413
918	4630	408
919	4632	402
920	4635	397
921	4637	392
922	4639	387
923	4642	381
924	4644	376
925	4645	371
926	4647	365
927	4649	360
928	4650	355
929	4652	350
930	4654	344
931	4655	339
932	4659	334
933	4661	329
934	4663	324
935	4667	319
936	4671	314
937	4675	309
938	4678	303
939	4681	298
940	4684	293
941	4688	288
942	4691	283
943	4693	278
944	4695	273
945	4696	268
946	4698	262
947	4702	257
948	4705	252
949	4709	247
950	4711	242
951	4715	237
952	4717	232
953	4719	227
954	4720	222
955	4722	217
956	4724	212
957	4725	207
958	4727	202
959	4730	197
960	4732	192
961	4736	187
962	4739	182
963	4740	177
964	4751	172
965	4753	167
966	4756	162
967	4760	157
968	4761	152
969	4763	147
970	4764	142
971	4766	137
972	4768	132
973	4770	127
974	4772	122
975	4775	117
976	4777	112
977	4780	107
978	4784	102
979	4789	97
980	4792	92
981	4796	87
982	4802	83
983	4805	78
984	4807	73
985	4809	68
986	4810	63
987	4812	58
988	4813	53
989	4816	48
990	4818	43
991	4820	38
992	4823	34
993	4826	29
994	4828	24
995	4832	19
996	4834	14
997	4835	9
998	4837	4
999	4842	0
